bio,bio_cleaned,tokens,filtered_tokens,lemmatized_tokens
"Cat lover, avoids tough talks.",cat lover avoids tough talks,"['cat', 'lover', 'avoids', 'tough', 'talks']","['cat', 'lover', 'avoids', 'tough', 'talks']","['cat', 'lover', 'avoids', 'tough', 'talk']"
Late-night thinker and early morning coffee drinker 🌙☕,latenight thinker and early morning coffee drinker,"['latenight', 'thinker', 'and', 'early', 'morning', 'coffee', 'drinker']","['latenight', 'thinker', 'early', 'morning', 'coffee', 'drinker']","['thinker', 'early', 'morning', 'coffee', 'drinker']"
"Fitness junkie, chocolate connoisseur.",fitness junkie chocolate connoisseur,"['fitness', 'junkie', 'chocolate', 'connoisseur']","['fitness', 'junkie', 'chocolate', 'connoisseur']","['fitness', 'junkie', 'chocolate', 'connoisseur']"
"Foodie, flaky mid-week.",foodie flaky midweek,"['foodie', 'flaky', 'midweek']","['foodie', 'flaky', 'midweek']","['foodie', 'flaky']"
i ghost sometimes,i ghost sometimes,"['i', 'ghost', 'sometimes']","['ghost', 'sometimes']","['ghost', 'sometimes']"
"Dog mom, chaos enthusiast",dog mom chaos enthusiast,"['dog', 'mom', 'chaos', 'enthusiast']","['dog', 'mom', 'chaos', 'enthusiast']","['dog', 'mom', 'chaos', 'enthusiast']"
love dogs more than ppl,love dogs more than ppl,"['love', 'dogs', 'more', 'than', 'ppl']","['love', 'dogs', 'ppl']","['love', 'dog', 'ppl']"
I binge-watch shows like a pro,i bingewatch shows like a pro,"['i', 'bingewatch', 'shows', 'like', 'a', 'pro']","['bingewatch', 'shows', 'like', 'pro']","['show', 'like', 'pro']"
"Gamer, flaky.",gamer flaky,"['gamer', 'flaky']","['gamer', 'flaky']","['gamer', 'flaky']"
"love memes, hate drama",love memes hate drama,"['love', 'memes', 'hate', 'drama']","['love', 'memes', 'hate', 'drama']","['love', 'meme', 'hate', 'drama']"
"sarcastic, messy, fun",sarcastic messy fun,"['sarcastic', 'messy', 'fun']","['sarcastic', 'messy', 'fun']","['sarcastic', 'messy', 'fun']"
"I trip over nothing, impressively",i trip over nothing impressively,"['i', 'trip', 'over', 'nothing', 'impressively']","['trip', 'nothing', 'impressively']","['trip', 'nothing', 'impressively']"
"Obsessed with hiking, dogs, and good vibes.",obsessed with hiking dogs and good vibes,"['obsessed', 'with', 'hiking', 'dogs', 'and', 'good', 'vibes']","['obsessed', 'hiking', 'dogs', 'good', 'vibes']","['obsess', 'hiking', 'dog', 'good', 'vibe']"
"Pizza > People, prove me wrong",pizza  people prove me wrong,"['pizza', 'people', 'prove', 'me', 'wrong']","['pizza', 'people', 'prove', 'wrong']","['pizza', 'people', 'prove', 'wrong']"
Obsessed with spontaneous adventures.,obsessed with spontaneous adventures,"['obsessed', 'with', 'spontaneous', 'adventures']","['obsessed', 'spontaneous', 'adventures']","['obsess', 'spontaneous', 'adventure']"
"Dog cuddler, Netflix binger.",dog cuddler netflix binger,"['dog', 'cuddler', 'netflix', 'binger']","['dog', 'cuddler', 'netflix', 'binger']","['dog', 'cuddler', 'netflix', 'binger']"
yes i’m clingy. yes i’m cute.,yes im clingy yes im cute,"['yes', 'im', 'clingy', 'yes', 'im', 'cute']","['yes', 'im', 'clingy', 'yes', 'im', 'cute']","['yes', 'clingy', 'yes', 'cute']"
Can cook 2-minute noodles like a Michelin chef,can cook minute noodles like a michelin chef,"['can', 'cook', 'minute', 'noodles', 'like', 'a', 'michelin', 'chef']","['cook', 'minute', 'noodles', 'like', 'michelin', 'chef']","['cook', 'noodle', 'like', 'michelin', 'chef']"
obsessed w dogs 🐶,obsessed w dogs,"['obsessed', 'w', 'dogs']","['obsessed', 'w', 'dogs']","['obsessed', 'dog']"
i scream at movies,i scream at movies,"['i', 'scream', 'at', 'movies']","['scream', 'movies']","['scream', 'movie']"
"pizza > salads, fight me",pizza  salads fight me,"['pizza', 'salads', 'fight', 'me']","['pizza', 'salads', 'fight']","['pizza', 'salad', 'fight']"
dating me is like therapy but worse,dating me is like therapy but worse,"['dating', 'me', 'is', 'like', 'therapy', 'but', 'worse']","['dating', 'like', 'therapy', 'worse']","['date', 'like', 'therapy', 'worse']"
sunny days > rainy days,sunny days  rainy days,"['sunny', 'days', 'rainy', 'days']","['sunny', 'days', 'rainy', 'days']","['sunny', 'day', 'rainy', 'day']"
I ghost to keep things interesting.,i ghost to keep things interesting,"['i', 'ghost', 'to', 'keep', 'things', 'interesting']","['ghost', 'keep', 'things', 'interesting']","['ghost', 'keep', 'thing', 'interest']"
"Foodie, secretly judgmental.",foodie secretly judgmental,"['foodie', 'secretly', 'judgmental']","['foodie', 'secretly', 'judgmental']","['foodie', 'secretly', 'judgmental']"
"Obsessed with memes, coffee, and bad decisions. ☕😂",obsessed with memes coffee and bad decisions,"['obsessed', 'with', 'memes', 'coffee', 'and', 'bad', 'decisions']","['obsessed', 'memes', 'coffee', 'bad', 'decisions']","['obsess', 'meme', 'coffee', 'bad', 'decision']"
"Loves music festivals, ghosted after one night.",loves music festivals ghosted after one night,"['loves', 'music', 'festivals', 'ghosted', 'after', 'one', 'night']","['loves', 'music', 'festivals', 'ghosted', 'one', 'night']","['love', 'music', 'festival', 'ghost', 'one', 'night']"
gym rat & coffee addict,gym rat  coffee addict,"['gym', 'rat', 'coffee', 'addict']","['gym', 'rat', 'coffee', 'addict']","['gym', 'rat', 'coffee', 'addict']"
"Obsessed with dogs, coffee, and chaos 🐶☕😂",obsessed with dogs coffee and chaos,"['obsessed', 'with', 'dogs', 'coffee', 'and', 'chaos']","['obsessed', 'dogs', 'coffee', 'chaos']","['obsessed', 'dog', 'coffee', 'chaos']"
Coffee addict and sarcasm queen ☕😂,coffee addict and sarcasm queen,"['coffee', 'addict', 'and', 'sarcasm', 'queen']","['coffee', 'addict', 'sarcasm', 'queen']","['coffee', 'addict', 'sarcasm', 'queen']"
"I ghost, but I leave memes",i ghost but i leave memes,"['i', 'ghost', 'but', 'i', 'leave', 'memes']","['ghost', 'leave', 'memes']","['ghost', 'leave', 'meme']"
"I flirt shamelessly, love dangerously.",i flirt shamelessly love dangerously,"['i', 'flirt', 'shamelessly', 'love', 'dangerously']","['flirt', 'shamelessly', 'love', 'dangerously']","['flirt', 'shamelessly', 'love', 'dangerously']"
socially awkward,socially awkward,"['socially', 'awkward']","['socially', 'awkward']","['socially', 'awkward']"
"Gamer at heart, foodie in practice.",gamer at heart foodie in practice,"['gamer', 'at', 'heart', 'foodie', 'in', 'practice']","['gamer', 'heart', 'foodie', 'practice']","['game', 'heart', 'foodie', 'practice']"
talk to me maybe,talk to me maybe,"['talk', 'to', 'me', 'maybe']","['talk', 'maybe']","['talk', 'maybe']"
cat person only,cat person only,"['cat', 'person', 'only']","['cat', 'person']","['cat', 'person']"
yes i still play mario kart,yes i still play mario kart,"['yes', 'i', 'still', 'play', 'mario', 'kart']","['yes', 'still', 'play', 'mario', 'kart']","['yes', 'still', 'play', 'mario', 'kart']"
"Snack first, questions later",snack first questions later,"['snack', 'first', 'questions', 'later']","['snack', 'first', 'questions', 'later']","['snack', 'first', 'question', 'later']"
chaotic brain,chaotic brain,"['chaotic', 'brain']","['chaotic', 'brain']","['chaotic', 'brain']"
Dog whisperer seeking dog human,dog whisperer seeking dog human,"['dog', 'whisperer', 'seeking', 'dog', 'human']","['dog', 'whisperer', 'seeking', 'dog', 'human']","['dog', 'whisperer', 'seek', 'dog', 'human']"
lonely but spicy,lonely but spicy,"['lonely', 'but', 'spicy']","['lonely', 'spicy']","['lonely', 'spicy']"
"looking for vibes, not titles",looking for vibes not titles,"['looking', 'for', 'vibes', 'not', 'titles']","['looking', 'vibes', 'titles']","['look', 'vibe', 'title']"
"Night owl, meme collector, chocolate lover.",night owl meme collector chocolate lover,"['night', 'owl', 'meme', 'collector', 'chocolate', 'lover']","['night', 'owl', 'meme', 'collector', 'chocolate', 'lover']","['night', 'owl', 'meme', 'collector', 'chocolate', 'lover']"
"Loves camping, bad jokes, and good snacks.",loves camping bad jokes and good snacks,"['loves', 'camping', 'bad', 'jokes', 'and', 'good', 'snacks']","['loves', 'camping', 'bad', 'jokes', 'good', 'snacks']","['love', 'camp', 'bad', 'joke', 'good', 'snack']"
messy but fun,messy but fun,"['messy', 'but', 'fun']","['messy', 'fun']","['messy', 'fun']"
i overcommit,i overcommit,"['i', 'overcommit']",['overcommit'],['overcommit']
Obsessed with travel journals.,obsessed with travel journals,"['obsessed', 'with', 'travel', 'journals']","['obsessed', 'travel', 'journals']","['obsess', 'travel', 'journal']"
i flirt with my words not with games,i flirt with my words not with games,"['i', 'flirt', 'with', 'my', 'words', 'not', 'with', 'games']","['flirt', 'words', 'games']","['flirt', 'word', 'game']"
in my healing era but still choosing violence,in my healing era but still choosing violence,"['in', 'my', 'healing', 'era', 'but', 'still', 'choosing', 'violence']","['healing', 'era', 'still', 'choosing', 'violence']","['heal', 'era', 'still', 'choose', 'violence']"
Always lost in music or my thoughts.,always lost in music or my thoughts,"['always', 'lost', 'in', 'music', 'or', 'my', 'thoughts']","['always', 'lost', 'music', 'thoughts']","['always', 'lose', 'music', 'thought']"
chaos wrapped in lip gloss,chaos wrapped in lip gloss,"['chaos', 'wrapped', 'in', 'lip', 'gloss']","['chaos', 'wrapped', 'lip', 'gloss']","['chaos', 'wrap', 'lip', 'gloss']"
might ghost u,might ghost u,"['might', 'ghost', 'u']","['might', 'ghost', 'u']","['might', 'ghost']"
literally just here to flirt and ghost,literally just here to flirt and ghost,"['literally', 'just', 'here', 'to', 'flirt', 'and', 'ghost']","['literally', 'flirt', 'ghost']","['literally', 'flirt', 'ghost']"
love language = quality time & terrible jokes.,love language  quality time  terrible jokes,"['love', 'language', 'quality', 'time', 'terrible', 'jokes']","['love', 'language', 'quality', 'time', 'terrible', 'jokes']","['love', 'language', 'quality', 'time', 'terrible', 'joke']"
overthink & snack,overthink  snack,"['overthink', 'snack']","['overthink', 'snack']","['overthink', 'snack']"
lowkey creepy,lowkey creepy,"['lowkey', 'creepy']","['lowkey', 'creepy']","['lowkey', 'creepy']"
Movie nerd looking for co-pilot in life.,movie nerd looking for copilot in life,"['movie', 'nerd', 'looking', 'for', 'copilot', 'in', 'life']","['movie', 'nerd', 'looking', 'copilot', 'life']","['movie', 'nerd', 'look', 'life']"
introvert but spicy,introvert but spicy,"['introvert', 'but', 'spicy']","['introvert', 'spicy']","['introvert', 'spicy']"
sarcasm my cardio,sarcasm my cardio,"['sarcasm', 'my', 'cardio']","['sarcasm', 'cardio']","['sarcasm', 'cardio']"
"I’m not everyone’s cup of tea, but I’m warm",im not everyones cup of tea but im warm,"['im', 'not', 'everyones', 'cup', 'of', 'tea', 'but', 'im', 'warm']","['im', 'everyones', 'cup', 'tea', 'im', 'warm']","['everyone', 'cup', 'tea', 'warm']"
Loves cozy blankets and rainy days.,loves cozy blankets and rainy days,"['loves', 'cozy', 'blankets', 'and', 'rainy', 'days']","['loves', 'cozy', 'blankets', 'rainy', 'days']","['love', 'cozy', 'blanket', 'rainy', 'day']"
you’ll fall first. don’t fight it,youll fall first dont fight it,"['youll', 'fall', 'first', 'dont', 'fight', 'it']","['youll', 'fall', 'first', 'dont', 'fight']","['fall', 'first', 'fight']"
"Weekend hiker, weekday napper.",weekend hiker weekday napper,"['weekend', 'hiker', 'weekday', 'napper']","['weekend', 'hiker', 'weekday', 'napper']","['weekend', 'hiker', 'weekday', 'napper']"
Amateur painter looking for inspiration and snacks.,amateur painter looking for inspiration and snacks,"['amateur', 'painter', 'looking', 'for', 'inspiration', 'and', 'snacks']","['amateur', 'painter', 'looking', 'inspiration', 'snacks']","['amateur', 'painter', 'look', 'inspiration', 'snack']"
Currently training for a Netflix marathon,currently training for a netflix marathon,"['currently', 'training', 'for', 'a', 'netflix', 'marathon']","['currently', 'training', 'netflix', 'marathon']","['currently', 'train', 'netflix', 'marathon']"
"Yoga enthusiast, ghosted recently.",yoga enthusiast ghosted recently,"['yoga', 'enthusiast', 'ghosted', 'recently']","['yoga', 'enthusiast', 'ghosted', 'recently']","['yoga', 'enthusiast', 'ghost', 'recently']"
pizza is bae,pizza is bae,"['pizza', 'is', 'bae']","['pizza', 'bae']","['pizza', 'bae']"
"Foodie, flaky.",foodie flaky,"['foodie', 'flaky']","['foodie', 'flaky']","['foodie', 'flaky']"
"Late-night drives, early regrets.",latenight drives early regrets,"['latenight', 'drives', 'early', 'regrets']","['latenight', 'drives', 'early', 'regrets']","['drive', 'early', 'regret']"
pizza & chaos energy,pizza  chaos energy,"['pizza', 'chaos', 'energy']","['pizza', 'chaos', 'energy']","['pizza', 'chaos', 'energy']"
sarcasm is my cardio,sarcasm is my cardio,"['sarcasm', 'is', 'my', 'cardio']","['sarcasm', 'cardio']","['sarcasm', 'cardio']"
"I flirt, then ghost for fun",i flirt then ghost for fun,"['i', 'flirt', 'then', 'ghost', 'for', 'fun']","['flirt', 'ghost', 'fun']","['flirt', 'ghost', 'fun']"
Gamer with a love for retro consoles.,gamer with a love for retro consoles,"['gamer', 'with', 'a', 'love', 'for', 'retro', 'consoles']","['gamer', 'love', 'retro', 'consoles']","['gamer', 'love', 'retro', 'console']"
"Flirt responsibly, snack recklessly",flirt responsibly snack recklessly,"['flirt', 'responsibly', 'snack', 'recklessly']","['flirt', 'responsibly', 'snack', 'recklessly']","['flirt', 'responsibly', 'snack', 'recklessly']"
love sarcasm & chaos,love sarcasm  chaos,"['love', 'sarcasm', 'chaos']","['love', 'sarcasm', 'chaos']","['love', 'sarcasm', 'chaos']"
love pizza,love pizza,"['love', 'pizza']","['love', 'pizza']","['love', 'pizza']"
Professional napper,professional napper,"['professional', 'napper']","['professional', 'napper']","['professional', 'napper']"
"Knows all memes, avoids confrontation.",knows all memes avoids confrontation,"['knows', 'all', 'memes', 'avoids', 'confrontation']","['knows', 'memes', 'avoids', 'confrontation']","['know', 'meme', 'avoids', 'confrontation']"
i scream sometimes,i scream sometimes,"['i', 'scream', 'sometimes']","['scream', 'sometimes']","['scream', 'sometimes']"
tacos before love,tacos before love,"['tacos', 'before', 'love']","['tacos', 'love']","['taco', 'love']"
"Gamer, foodie, coffee addict.",gamer foodie coffee addict,"['gamer', 'foodie', 'coffee', 'addict']","['gamer', 'foodie', 'coffee', 'addict']","['gamer', 'foodie', 'coffee', 'addict']"
Currently avoiding adulthood creatively,currently avoiding adulthood creatively,"['currently', 'avoiding', 'adulthood', 'creatively']","['currently', 'avoiding', 'adulthood', 'creatively']","['currently', 'avoid', 'adulthood', 'creatively']"
chaotic queen,chaotic queen,"['chaotic', 'queen']","['chaotic', 'queen']","['chaotic', 'queen']"
lol,lol,['lol'],['lol'],['lol']
looking for someone to steal fries with,looking for someone to steal fries with,"['looking', 'for', 'someone', 'to', 'steal', 'fries', 'with']","['looking', 'someone', 'steal', 'fries']","['look', 'someone', 'steal', 'fry']"
"I may ghost you, but I’ll leave memes",i may ghost you but ill leave memes,"['i', 'may', 'ghost', 'you', 'but', 'ill', 'leave', 'memes']","['may', 'ghost', 'ill', 'leave', 'memes']","['may', 'ghost', 'leave', 'meme']"
Sarcasm: my second language,sarcasm my second language,"['sarcasm', 'my', 'second', 'language']","['sarcasm', 'second', 'language']","['sarcasm', 'second', 'language']"
love sarcasm more than humans,love sarcasm more than humans,"['love', 'sarcasm', 'more', 'than', 'humans']","['love', 'sarcasm', 'humans']","['love', 'sarcasm', 'human']"
cute girl. bad choices,cute girl bad choices,"['cute', 'girl', 'bad', 'choices']","['cute', 'girl', 'bad', 'choices']","['cute', 'girl', 'bad', 'choice']"
like 2 dogs,like  dogs,"['like', 'dogs']","['like', 'dogs']","['like', 'dog']"
Coffee-fueled and slightly sarcastic ☕😏,coffeefueled and slightly sarcastic,"['coffeefueled', 'and', 'slightly', 'sarcastic']","['coffeefueled', 'slightly', 'sarcastic']","['slightly', 'sarcastic']"
messy & fun vibes,messy  fun vibes,"['messy', 'fun', 'vibes']","['messy', 'fun', 'vibes']","['messy', 'fun', 'vibe']"
binge eat & regret later,binge eat  regret later,"['binge', 'eat', 'regret', 'later']","['binge', 'eat', 'regret', 'later']","['binge', 'eat', 'regret', 'later']"
